algorithm,data_order,data_size,running_time_ms,comparisons
selection-sort,Sorted,10000,1913.5359999999935,100009999
insertion-sort,Sorted,10000,2.5990000000035707,39997
binary-insertion-sort,Sorted,10000,9.338000000013835,277232
bubble-sort,Sorted,10000,2532.049900000004,100010001
shaker-sort,Sorted,10000,2.4080000000026303,39999
shell-sort,Sorted,10000,6.976000000008753,159949
heap-sort,Sorted,10000,32.107599999989134,656322
merge-sort,Sorted,10000,20.717700000005834,252619
quick-sort,Sorted,10000,4776.8350000000055,100009998
counting-sort,Sorted,10000,2.712699999989354,40002
radix-sort,Sorted,10000,10.323800000008987,80094
flash-sort,Sorted,10000,8.861400000000685,158991
selection-sort,Sorted,30000,20640.093699999994,900029999
insertion-sort,Sorted,30000,5.676999999991494,119997
binary-insertion-sort,Sorted,30000,42.98649999998361,924464
bubble-sort,Sorted,30000,26946.671199999968,900030001
shaker-sort,Sorted,30000,4.932800000005955,119999
shell-sort,Sorted,30000,21.066399999995156,479949
heap-sort,Sorted,30000,108.07660000000396,2200900
merge-sort,Sorted,30000,67.78739999998606,824955
quick-sort,Sorted,30000,45778.5475,900029998
counting-sort,Sorted,30000,9.551600000008875,120002
radix-sort,Sorted,30000,37.14030000003277,300117
flash-sort,Sorted,30000,25.730899999985013,476991
selection-sort,Sorted,50000,71628.55679999996,2500049999
insertion-sort,Sorted,50000,8.600899999976264,199997
binary-insertion-sort,Sorted,50000,76.14460000002055,1618928
bubble-sort,Sorted,50000,87327.48230000005,2500050001
shaker-sort,Sorted,50000,7.613600000013321,199999
shell-sort,Sorted,50000,34.68309999999519,799949
heap-sort,Sorted,50000,184.91829999999254,3863650
merge-sort,Sorted,50000,112.92429999997466,1436411
quick-sort,Sorted,50000,122516.30099999999,2500049998
counting-sort,Sorted,50000,19.894300000032672,200002
radix-sort,Sorted,50000,88.43820000004143,500117
flash-sort,Sorted,50000,65.93390000000454,794991
selection-sort,Sorted,100000,290550.18399999995,10000099999
insertion-sort,Sorted,100000,16.113700000005338,399997
binary-insertion-sort,Sorted,100000,153.31270000001496,3437856
bubble-sort,Sorted,100000,341415.9168,10000100001
shaker-sort,Sorted,100000,14.287100000046848,399999
shell-sort,Sorted,100000,68.42300000016621,1599949
heap-sort,Sorted,100000,391.32360000007793,8231838
merge-sort,Sorted,100000,240.35590000016782,3022827
quick-sort,Sorted,100000,484819.72500000003,10000099998
counting-sort,Sorted,100000,37.35699999992903,400002
radix-sort,Sorted,100000,123.94610000001194,1000117
flash-sort,Sorted,100000,87.37380000002304,1589991
selection-sort,Sorted,300000,2362835.1603000006,90000299999
insertion-sort,Sorted,300000,50.9516000001895,1199997
binary-insertion-sort,Sorted,300000,511.5280999998504,11251424
bubble-sort,Sorted,300000,3039181.5259000002,90000300001
shaker-sort,Sorted,300000,40.608899999824644,1199999
shell-sort,Sorted,300000,200.04100000005565,4799949
heap-sort,Sorted,300000,1303.9762999997038,27051928
merge-sort,Sorted,300000,775.7932000004075,9772971
quick-sort,Sorted,300000,4325858.791099999,90000299998
counting-sort,Sorted,300000,84.06020000074932,1200002
radix-sort,Sorted,300000,414.74660000130825,3600140
flash-sort,Sorted,300000,255.40280000132043,4769991
selection-sort,Sorted,500000,6579462.795500002,250000499999
insertion-sort,Sorted,500000,70.51669999782462,1999997
binary-insertion-sort,Sorted,500000,890.822899997147,19451424
bubble-sort,Sorted,500000,8453700.139600001,250000500001
shaker-sort,Sorted,500000,65.32629999855999,1999999
shell-sort,Sorted,500000,335.9415999984776,7999949
heap-sort,Sorted,500000,2360.2065999984916,46856150
merge-sort,Sorted,500000,1291.6852999987896,16758923
quick-sort,Sorted,500000,12037747.429499999,250000499998
counting-sort,Sorted,500000,140.18599999690196,2000002
radix-sort,Sorted,500000,734.7661000021617,6000140
flash-sort,Sorted,500000,428.08330000116257,7949991
selection-sort,Nearly Sorted,10000,1882.640599993465,100009999
insertion-sort,Nearly Sorted,10000,56.312000000616536,1219109
binary-insertion-sort,Nearly Sorted,10000,41.92930000135675,858100
bubble-sort,Nearly Sorted,10000,2763.099700001476,100010001
shaker-sort,Nearly Sorted,10000,100.161800000933,1910881
shell-sort,Nearly Sorted,10000,29.46410000004107,468101
heap-sort,Nearly Sorted,10000,32.09220000280766,655839
merge-sort,Nearly Sorted,10000,21.696000003430527,284481
quick-sort,Nearly Sorted,10000,83.41539999673842,2207816
counting-sort,Nearly Sorted,10000,3.029300001799129,40002
radix-sort,Nearly Sorted,10000,9.875499999907333,80094
flash-sort,Nearly Sorted,10000,8.685599997988902,158748
selection-sort,Nearly Sorted,30000,21479.746299999533,900029999
insertion-sort,Nearly Sorted,30000,240.40850000164937,3798901
binary-insertion-sort,Nearly Sorted,30000,172.80459999892628,2744852
bubble-sort,Nearly Sorted,30000,28142.396800001734,900030001
shaker-sort,Nearly Sorted,30000,312.47479999728967,5990101
shell-sort,Nearly Sorted,30000,73.75429999956395,1219721
heap-sort,Nearly Sorted,30000,108.62359999737237,2200680
merge-sort,Nearly Sorted,30000,75.48239999596262,920885
quick-sort,Nearly Sorted,30000,1634.3025000023772,37647398
counting-sort,Nearly Sorted,30000,9.54309999360703,120002
radix-sort,Nearly Sorted,30000,37.399000000732485,300117
flash-sort,Nearly Sorted,30000,25.92269999877317,476741
selection-sort,Nearly Sorted,50000,66478.16469999816,2500049999
insertion-sort,Nearly Sorted,50000,404.5544999971753,6569013
binary-insertion-sort,Nearly Sorted,50000,319.5297999991453,4763346
bubble-sort,Nearly Sorted,50000,84507.14750000043,2500050001
shaker-sort,Nearly Sorted,50000,570.4824999993434,10788445
shell-sort,Nearly Sorted,50000,141.1491999970167,2263917
heap-sort,Nearly Sorted,50000,196.583400000236,3863550
merge-sort,Nearly Sorted,50000,128.50829999661073,1593377
quick-sort,Nearly Sorted,50000,3002.835300001607,89075306
counting-sort,Nearly Sorted,50000,14.277299997047521,200002
radix-sort,Nearly Sorted,50000,57.66289999883156,500117
flash-sort,Nearly Sorted,50000,42.547799996100366,794742
selection-sort,Nearly Sorted,100000,266687.0779000019,10000099999
insertion-sort,Nearly Sorted,100000,796.631699995487,13409749
binary-insertion-sort,Nearly Sorted,100000,647.8351999976439,9861772
bubble-sort,Nearly Sorted,100000,347745.5320000008,10000100001
shaker-sort,Nearly Sorted,100000,1153.0478999993647,22787119
shell-sort,Nearly Sorted,100000,264.0917000026093,4403105
heap-sort,Nearly Sorted,100000,415.4932000019471,8230889
merge-sort,Nearly Sorted,100000,272.96039999782806,3338307
quick-sort,Nearly Sorted,100000,10657.245000002149,340211434
counting-sort,Nearly Sorted,100000,29.42740000435151,400002
radix-sort,Nearly Sorted,100000,112.45599999529077,1000117
flash-sort,Nearly Sorted,100000,89.33439999964321,1589754
selection-sort,Nearly Sorted,300000,2428925.321499999,90000299999
insertion-sort,Nearly Sorted,300000,2450.3349000005983,42150869
binary-insertion-sort,Nearly Sorted,300000,2037.3953000016627,31495562
bubble-sort,Nearly Sorted,300000,3126730.6178,90000300001
shaker-sort,Nearly Sorted,300000,3346.20979999454,63588871
shell-sort,Nearly Sorted,300000,824.7320000009495,13740849
heap-sort,Nearly Sorted,300000,1359.088500001235,27049608
merge-sort,Nearly Sorted,300000,843.066400004318,10760051
quick-sort,Nearly Sorted,300000,64617.72320000455,1920147100
counting-sort,Nearly Sorted,300000,84.56809999916004,1200002
radix-sort,Nearly Sorted,300000,425.12669999996433,3600140
flash-sort,Nearly Sorted,300000,264.9345000027097,4769735
selection-sort,Nearly Sorted,500000,6706019.9966,250000499999
insertion-sort,Nearly Sorted,500000,4005.730200005928,67275701
binary-insertion-sort,Nearly Sorted,500000,3322.663900005864,51690336
bubble-sort,Nearly Sorted,500000,8670396.598200008,250000500001
shaker-sort,Nearly Sorted,500000,5740.754600003129,111987569
shell-sort,Nearly Sorted,500000,1518.4244000120088,24814381
heap-sort,Nearly Sorted,500000,2335.7649000099627,46830388
merge-sort,Nearly Sorted,500000,1403.4395999915432,18280951
quick-sort,Nearly Sorted,500000,97163.97019999567,3437065218
counting-sort,Nearly Sorted,500000,142.20449999265838,2000002
radix-sort,Nearly Sorted,500000,739.643499997328,6000140
flash-sort,Nearly Sorted,500000,440.07199999759905,7949746
